name,faculty,department,faculty_type,date_recommend,date_recommend_pass,date_general,date_general_pass,location,rubi,is_there_recommend,is_there_general,other_faculty,math,english,physics,chemistry,biology,special,paper,integration,japanese,practical,external_english,interview,url,main,note
東京大学,工学部,社会基盤学科,engineering,,,"6.28,7.10","7.06,7.17",東京都,とうきょうだいがく,,1,,1,1,,,,,,,,,,1,http://www.t.u-tokyo.ac.jp/foe/,,
東京大学,工学部,建築学科,engineering,,,"6.28,7.10","7.06,7.17",東京都,とうきょうだいがく,,1,,1,1,,,,,,,,,,1,http://www.t.u-tokyo.ac.jp/foe/,,
東京大学,工学部,都市工学科,engineering,,,"6.28,7.10","7.06,7.17",東京都,とうきょうだいがく,,1,,1,1,,,,,,,,,,1,http://www.t.u-tokyo.ac.jp/foe/,,
東京大学,工学部,システム創成学科,engineering,,,"6.28,7.10","7.06,7.17",東京都,とうきょうだいがく,,1,,1,1,,,,,,,,,,1,http://www.t.u-tokyo.ac.jp/foe/,,
東京大学,工学部,機械系学科,engineering,,,"6.28,7.10","7.06,7.17",東京都,とうきょうだいがく,,1,,1,1,1,,,,,,,,,1,http://www.t.u-tokyo.ac.jp/foe/,,
東京大学,工学部,航空宇宙工学科,engineering,,,"6.28,7.10","7.06,7.17",東京都,とうきょうだいがく,,1,,1,1,1,,,,,,,,,1,http://www.t.u-tokyo.ac.jp/foe/,,
東京大学,工学部,精密工学科,engineering,,,"6.28,7.10","7.06,7.17",東京都,とうきょうだいがく,,1,,1,1,1,,,,,,,,,1,http://www.t.u-tokyo.ac.jp/foe/,,
東京大学,工学部,電子・情報系学科,engineering,,,"6.28,7.10","7.06,7.17",東京都,とうきょうだいがく,,1,,1,1,1,,,,,,,,,1,http://www.t.u-tokyo.ac.jp/foe/,1,
東京大学,工学部,物理工学科,engineering,,,"6.28,7.10","7.06,7.17",東京都,とうきょうだいがく,,1,,1,1,1,,,,,,,,,1,http://www.t.u-tokyo.ac.jp/foe/,,
東京大学,工学部,計数工学科,engineering,,,"6.28,7.10","7.06,7.17",東京都,とうきょうだいがく,,1,,1,1,1,,,,,,,,,1,http://www.t.u-tokyo.ac.jp/foe/,,
東京大学,工学部,マテリアル工学科,engineering,,,"6.28,7.10","7.06,7.17",東京都,とうきょうだいがく,,1,,1,1,1,1,,,,,,,,1,http://www.t.u-tokyo.ac.jp/foe/,,
東京大学,工学部,応用化学科,engineering,,,"6.28,7.10","7.06,7.17",東京都,とうきょうだいがく,,1,,1,1,,1,,,,,,,,1,http://www.t.u-tokyo.ac.jp/foe/,,
東京大学,工学部,化学システム工学科,engineering,,,"6.28,7.10","7.06,7.17",東京都,とうきょうだいがく,,1,,1,1,1,1,,,,,,,,1,http://www.t.u-tokyo.ac.jp/foe/,,
